,date,number_case,state
310,2020-07-24,1,CA
311,2020-08-03,1,CA
312,2020-08-06,1,CA
313,2020-08-12,1,CA
314,2020-08-15,1,CA
315,2020-08-16,1,CA
316,2020-08-17,2,CA
317,2020-08-21,1,CA
318,2020-08-22,1,CA
319,2020-08-30,1,CA
320,2020-08-31,1,CA
321,2020-09-01,1,CA
322,2020-09-03,1,CA
323,2020-09-04,1,CA
324,2020-09-10,1,CA
325,2020-09-12,1,CA
326,2020-09-18,1,CA
327,2020-09-24,1,CA
328,2020-10-02,2,CA
329,2020-10-05,1,CA
330,2020-10-10,1,CA
331,2020-10-13,1,CA
332,2020-10-15,1,CA
333,2020-10-16,1,CA
334,2020-10-18,1,CA
335,2020-10-19,1,CA
336,2020-10-23,1,CA
337,2020-10-28,1,CA
338,2020-11-01,1,CA
339,2020-11-03,1,CA
340,2020-11-04,1,CA
341,2020-11-05,1,CA
342,2020-11-06,1,CA
343,2020-11-09,1,CA
344,2020-11-27,1,CA
345,2020-12-02,1,CA
346,2020-12-06,1,CA
347,2020-12-13,1,CA
348,2020-12-19,1,CA
349,2020-12-24,1,CA
350,2020-12-29,1,CA
351,2021-01-02,1,CA
352,2021-01-09,1,CA
353,2021-01-10,1,CA
354,2021-01-13,1,CA
355,2021-01-15,1,CA
356,2021-01-20,1,CA
357,2021-01-21,1,CA
358,2021-01-26,1,CA
359,2021-01-27,1,CA
360,2021-01-29,1,CA
361,2021-01-31,1,CA
362,2021-02-13,1,CA
363,2021-02-15,2,CA
364,2021-03-11,1,CA
365,2021-03-14,1,CA
366,2021-03-16,1,CA
367,2021-03-28,1,CA
368,2021-03-29,1,CA
369,2021-03-31,1,CA
370,2021-04-01,1,CA
371,2021-04-03,1,CA
372,2021-04-06,1,CA
373,2021-04-07,1,CA
374,2021-04-24,1,CA
375,2021-05-08,1,CA
376,2021-05-11,1,CA
377,2021-05-23,1,CA
378,2021-05-31,1,CA
379,2021-06-14,1,CA
380,2021-06-24,1,CA
381,2021-06-28,1,CA
382,2021-07-23,1,CA
383,2021-07-31,1,CA
384,2021-08-11,1,CA
385,2021-08-25,2,CA
386,2021-09-08,1,CA
387,2021-09-09,1,CA
388,2021-09-25,1,CA
389,2022-03-03,2,CA
390,2022-03-13,1,CA
391,2022-04-14,1,CA
392,2022-04-20,1,CA
393,2022-05-03,1,CA
394,2022-05-19,2,CA
